Ticker;Publico Alvo;Tipo de FII;Administrador;Ultimo Rend. (R$);Ultimo Rend. (%);Data Pagamento;Data Base;Rend. Med. 12m (R$);Rend. Med. 12m (%);Patrimonio/Cota;Cotacao/VP;Nº negocios/mes;Partic. IFIX;Numero Cotistas;Patrimonio;Cota base
HOSI11;Geral;Tijolo: Outros;Vórtx DTVM LTDA;0,57;0,76;07/10/2020;30/09/2020;0,05;0,06;93,18;0,81;747;0;1.987;53.432.367,06;75,4
HPDP11;Investidor Qualificado;Tijolo: Shoppings;Hedge Investments DTVM LTDA;0,3;0,33;15/10/2020;30/09/2020;0,17;0,19;95,71;0,94;165;0;281;278.395.409,40;90
HRDF11;Investidor Qualificado;Tijolo: Desenvolvimento;Hedge Investments DTVM LTDA;0;N/A;00/00/0000;00/00/0000;0;N/A;1,81;0;4.595;0;1.023;13.752.570,89;0
HSAF11;Geral;Papel: CRIs;BRL Trust DTVM;0,04;0,04;07/10/2020;30/09/2020;0;0;96,31;1,03;272;0;1.814;86.984.480,05;98,9
HSML11;Geral;Tijolo: Shoppings;Santander Securities Services Brasil DTVM;0,4;0,43;07/10/2020;30/09/2020;0,4;0,43;99,82;0,93;59.875;1,84;92.993;1.575.267.286,66;92,37
HTMX11;Geral;Tijolo: Hotéis;BTG Pactual;0,71;0,45;06/03/2020;28/02/2020;0,83;0,53;144,66;1,08;7.063;0,2;22.960;181.834.872,92;156,93
HUSC11;Geral;Tijolo: Hospital;Rio Bravo Investimentos;0,73;0,48;15/10/2020;30/09/2020;0,39;0,26;99,4;1,53;401;0;552;72.146.087,32;151,91
HUSI11;Geral;Tijolo: Hospital;Planner Corretora de Valores;0;N/A;00/00/0000;00/00/0000;0;N/A;949,16;0;1;0;2;95.259.765,79;0
IBFF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,35;0,47;17/09/2020;10/09/2020;0,46;0,62;88,53;0,84;5.513;0;3.340;59.023.449,11;74,3
IFIE11;Geral;Papel: Fundo de Fundos;Inter DTVM;0;N/A;00/00/0000;00/00/0000;0;N/A;95,51;0;2.013;0;8.679;86.004.165,43;0
IRDM11;Geral;Papel: CRIs;BTG Pactual;1,16;0,91;19/10/2020;09/10/2020;0,92;0,72;98,24;1,29;69.475;1,85;90.187;1.129.741.125,31;126,99
JPPA11;Geral;Papel: CRIs;Vórtx DTVM LTDA;0,62;0,61;15/10/2020;30/09/2020;0,66;0,65;102,11;0,99;63;0;168;51.624.684,07;101,5
JPPC11;Geral;Tijolo: Desenvolvimento;Banco Finaxis;5,98;1,49;13/03/2020;28/02/2020;10,72;2,67;498,06;0,81;4;0;77;27.393.210,94;402
JRDM11;Geral;Tijolo: Shoppings;BTG Pactual;0,16;0,21;14/08/2020;07/08/2020;0,46;0,61;90,8;0,83;1.567;0;6.155;229.085.746,75;75,15
JSRE11;Geral;Híbrido (Tijolo/Papel);Banco J. Safra;0,53;0,53;22/10/2020;30/09/2020;0,48;0,48;112,44;0,89;40.433;2,52;43.534;2.335.096.900,10;99,61
JTPR11;Geral;Tijolo: Desenvolvimento;Planner Corretora de Valores;1,63;N/A;28/09/2020;31/08/2020;0,38;N/A;116,59;0;0;0;8;25.028.425,20;0
KEVE11;Investidor Qualificado;Tijolo: Desenvolvimento;INTRAG DTVM;0;N/A;00/00/0000;00/00/0000;0;N/A;998,31;0;0;0;1;59.399.731,25;0
KFOF11;Geral;Papel: Fundo de Fundos;INTRAG DTVM;0,46;0,41;15/10/2020;30/09/2020;0,53;0,47;109,9;1,01;3.501;0,98;5.965;480.537.751,93;111,36
KINP11;Investidor Qualificado;Tijolo: Desenvolvimento;INTRAG DTVM;0,12;1,07;14/07/2020;30/06/2020;0,04;0,35;9,58;1,17;241;0;256;68.481.296,43;11,2
KISU11;Geral;Papel: Fundo de Fundos;Vórtx DTVM LTDA;0;N/A;00/00/0000;00/00/0000;0;N/A;0;;0;0;0;0;0
KNCR11;Geral;Papel: CRIs;INTRAG DTVM;0,25;0,28;14/10/2020;30/09/2020;0,38;0,42;97,73;0,92;49.300;4,53;69.373;3.821.147.423,24;90,25
KNHY11;Investidor Qualificado;Papel: CRIs;INTRAG DTVM;0,64;0,58;14/10/2020;30/09/2020;0,6;0,55;105,67;1,04;6.162;1,46;4.860;1.129.702.323,09;110
KNIP11;Investidor Qualificado;Papel: CRIs;INTRAG DTVM;0,74;0,67;14/10/2020;30/09/2020;0,66;0,6;105,26;1,05;27.344;4,41;21.902;3.749.255.914,50;110,52
KNRE11;Investidor Qualificado;Tijolo: Desenvolvimento;INTRAG DTVM;0,01;0,32;14/07/2020;30/06/2020;0,16;3,57;3,89;1,14;5.040;0;6.404;72.086.211,95;4,42
KNRI11;Geral;Tijolo: Híbrido;INTRAG DTVM;0,65;0,39;15/10/2020;30/09/2020;0,69;0,42;156,31;1,06;67.004;4,78;219.023;3.688.959.907,45;165,03
LASC11;Geral;Tijolo: Shoppings;Vórtx DTVM LTDA;0,27;0,28;08/10/2020;01/10/2020;0,09;0,09;95,81;1;142;0;84;241.258.621,70;96
LATR11B;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;336,52;N/A;23/08/2019;16/08/2019;33,68;N/A;47,83;0;4;0;151;5.936.160,61;0
LFTT11;Investidor Qualificado;Tijolo: Desenvolvimento;Modal DTVM;1,28;1,26;15/10/2020;30/09/2020;0,11;0,1;52,82;1,93;1.289;0;389;304.755.226,24;102
LGCP11;Geral;Tijolo: Galpões;Inter DTVM;0,53;0,53;15/10/2020;30/09/2020;0,3;0,29;95,7;1,05;2.282;0;5.590;168.701.742,34;100,89
LOFT11B;Investidor Qualificado;Tijolo: Desenvolvimento;Modal DTVM;0,79;0,77;15/10/2020;30/09/2020;0,71;0,7;74,09;1,37;55;0;264;214.262.033,69;101,75
LUGG11;Geral;Tijolo: Desenvolvimento;Inter DTVM;0,45;0,42;15/10/2020;30/09/2020;0,32;0,3;108,63;0,98;1.012;0;4.203;97.766.272,73;106,75
LVBI11;Geral;Tijolo: Galpões;BTG Pactual;0,66;0,54;07/10/2020;30/09/2020;0,63;0,51;110,35;1,12;37.502;1,8;33.412;1.299.422.623,52;123,23
MALL11;Geral;Tijolo: Shoppings;Genial Investimentos Corretora de Valores;0,35;0,38;15/10/2020;30/09/2020;0,33;0,36;106,08;0,87;40.550;0,88;65.034;802.039.084,84;91,99
MAXR11;Geral;Tijolo: Varejo;BTG Pactual;12,5;0,65;15/10/2020;07/10/2020;13,6;0,71;2.234,13;0,86;546;0;2.944;132.361.009,84;1.925,05
MBRF11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;9;0,71;15/10/2020;06/10/2020;8,71;0,68;1.285,97;0,99;520;0;2.899;130.736.858,59;1.274,01
MCCI11;Geral;Papel: CRIs;BTG Pactual;0,6;0,58;20/10/2020;13/10/2020;0,49;0,47;98,6;1,05;33.900;1,29;19.836;713.499.739,68;103,7
MFAI11;Geral;Híbrido (Tijolo/Papel);Planner Trustee DTVM LTDA;0,59;0,48;15/10/2020;30/09/2020;0,43;0,35;97,95;1,26;940;0;1.378;9.304.420,72;123,77
MFII11;Geral;Tijolo: Desenvolvimento;Planner Corretora de Valores;1,01;0,78;15/10/2020;30/09/2020;1;0,77;114,54;1,13;7.110;0,41;23.680;286.659.408,30;129,49
MGFF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,5;0,56;19/10/2020;07/10/2020;0,63;0,7;86,89;1,03;37.789;0,99;50.220;786.413.588,97;89,75
MGHT11;Investidor Qualificado;Tijolo: Hotéis;BTG Pactual;0,6;0,6;20/10/2020;13/10/2020;0,31;0,31;99,48;1;256;0;214;82.886.396,29;99,7
MORE11;Investidor Qualificado;Papel: Fundo de Fundos;BTG Pactual;0,9;0,81;21/10/2020;14/10/2020;0,33;0,29;99,91;1,12;112;0;233;58.329.565,16;111,5
MXRF11;Geral;Papel: CRIs;BTG Pactual;0,07;0,64;15/10/2020;30/09/2020;0,08;0,75;10,06;1,08;224.986;2,41;269.170;1.835.951.703,52;10,91
NCHB11;Investidor Qualificado;Papel: CRIs;BTG Pactual;0,32;0,34;15/10/2020;07/10/2020;0,9;0,96;90,13;1,03;285;0;1.091;51.470.942,11;93
